graph_id,src,dst
487,215,71
487,215,71
487,215,71
489,146,44
489,146,44
490,146,44
494,24,44
494,24,44
499,24,44
499,24,44
500,253,6
500,253,6
500,253,6
500,253,6
501,24,44
501,24,44
504,252,44
504,252,44
507,86,76
507,24,44
507,86,76
507,24,44
507,24,44
507,24,44
507,24,44
508,146,44
509,34,49
509,34,49
509,34,49
510,146,44
510,146,44
510,146,44
511,191,20
511,191,20
511,252,44
514,253,6
514,253,6
515,115,0
515,272,44
515,115,0
515,272,44
515,272,44
519,285,71
519,285,71
519,24,44
520,86,76
520,86,76
520,86,76
522,24,44
522,24,44
522,24,44
522,24,44
522,24,44
523,215,71
523,215,71
523,215,71
526,272,44
526,272,44
526,272,44
541,281,23
541,58,19
541,281,23
541,281,23
541,58,19
541,281,23
545,55,61
545,55,61
546,272,44
547,58,19
547,146,44
547,58,19
547,146,44
548,156,24
548,156,24
548,156,24
548,156,24
548,270,71
549,266,83
549,266,83
549,266,83
551,57,61
556,272,44
556,272,44
556,272,44
558,57,61
558,57,61
561,1370,76
561,1370,76
561,1370,76
562,146,44
562,146,44
563,285,71
563,285,71
563,285,71
563,285,71
565,113,0
565,113,0
566,24,44
566,24,44
568,146,44
569,81,21
569,81,21
569,81,21
573,83,60
573,83,60
573,83,60
577,146,44
577,146,44
578,282,71
578,282,71
578,282,71
578,282,71
578,272,44
579,28,45
579,24,44
579,28,45
579,24,44
581,285,71
582,257,23
582,257,23
582,141,69
583,240,71
583,240,71
583,240,71
584,156,24
584,156,24
584,270,71
585,24,44
585,24,44
585,83,60
586,10,79
586,1370,76
586,10,79
586,1370,76
587,24,44
587,24,44
589,113,0
589,113,0
591,24,44
593,156,24
593,156,24
596,272,44
596,272,44
596,272,44
596,272,44
597,48,8
597,24,44
597,24,44
598,191,20
598,191,20
598,191,20
598,191,20
599,55,61
600,146,44
600,146,44
602,257,23
602,257,23
603,12,63
603,12,63
603,12,63
612,28,45
612,28,45
612,28,45
612,28,45
613,272,44
613,272,44
613,272,44
618,115,0
618,115,0
618,115,0
618,115,0
618,272,44
620,188,44
622,222,61
623,24,44
626,34,49
626,34,49
626,34,49
632,146,44
632,146,44
632,146,44
637,274,9
637,274,9
641,195,6
641,195,6
641,195,6
645,113,0
645,113,0
648,84,9
649,118,23
649,118,23
651,270,71
651,270,71
651,24,44
654,272,44
654,272,44
